CoC Number,CoC Name,"Total Homeless, 2008","Sheltered Homeless, 2008","Unsheltered Homeless, 2008","Homeless Individuals, 2008","Sheltered Homeless Individuals, 2008","Unsheltered Homeless Individuals, 2008","Homeless People in Families, 2008","Sheltered Homeless People in Families, 2008","Unsheltered Homeless People in Families, 2008","Chronically Homeless Individuals, 2008","Sheltered Chronically Homeless Individuals, 2008","Unsheltered Chronically Homeless Individuals, 2008"
NH-500,New Hampshire Balance of State CoC,986,830,156,543,444,99,443,386,57,213,148,65
NH-501,Manchester CoC,576,373,203,405,205,200,171,168,3,114,97,17
NH-502,Nashua/Hillsborough County CoC,457,332,125,224,136,88,233,196,37,110,52,58
NJ-500,Atlantic City & County CoC,476,398,78,382,310,72,94,88,6,85,72,13
NJ-501,Bergen County CoC,"1,627","1,514",113,690,587,103,937,927,10,58,36,22
NJ-502,Burlington County CoC,896,780,116,610,508,102,286,272,14,218,187,31
NJ-503,"Camden City/Camden, Cumberland, Gloucester, Cape May Counties CoC","1,454","1,111",343,856,629,227,598,482,116,163,108,55
NJ-504,Newark/Essex County CoC,"1,036",884,152,683,568,115,353,316,37,128,110,18
NJ-506,Jersey City/Bayonne/Hudson County CoC,"2,227","1,976",251,682,504,178,"1,545","1,472",73,93,63,30
NJ-507,New Brunswick/Middlesex County CoC,792,545,247,394,261,133,398,284,114,61,42,19
NJ-508,Monmouth County CoC,763,676,87,311,255,56,452,421,31,84,74,10
NJ-509,Morris County CoC,224,189,35,148,113,35,76,76,0,30,20,10
NJ-510,Lakewood Township/Ocean County CoC,337,309,28,188,160,28,149,149,0,40,36,4
NJ-511,Paterson/Passaic County CoC,518,314,204,338,180,158,180,134,46,51,26,25
NJ-512,Salem County CoC,310,302,8,136,131,5,174,171,3,28,26,2
NJ-513,Somerset County CoC,302,285,17,177,163,14,125,122,3,12,7,5
NJ-514,Trenton/Mercer County CoC,989,851,138,522,450,72,467,401,66,82,62,20
NJ-515,Elizabeth/Union County CoC,"1,188","1,072",116,423,319,104,765,753,12,79,46,33
NJ-516,"Warren, Sussex, Hunterdon Counties CoC",693,654,39,308,283,25,385,371,14,57,53,4
NM-500,Albuquerque CoC,"1,276",989,287,821,606,215,455,383,72,159,78,81
NM-501,New Mexico Balance of State CoC,"1,739",759,980,"1,040",457,583,699,302,397,552,167,385
