,"Total Beds (ES,TH)",,,,,,,,,Emergency Shelter (ES),,,,,,,,,Transitional Housing (TH),,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,
CoC,"Total Year-Round Beds (ES,TH)","Total Non-DV Year-Round Beds (ES,TH)","Total HMIS Year-Round Beds (ES,TH)","HMIS Participation Rate (ES,TH)",Total Emergency Shelter (ES) Beds (excluding seasonal+O/V),Total Transitional Housing (TH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow/Voucher ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children
FL-603,433,375,348,92.80%,162,271,11,59,374,162,104,142,136.50%,0,8,10,53,109,271,271,271,206,76.00%,1,6,265,104,104,104,104,100.00%,54,0,0,104
FL-604,498,463,498,107.60%,270,228,27,82,416,270,235,270,114.90%,0,32,13,30,240,228,228,228,228,100.00%,14,52,176,155,155,155,155,100.00%,41,7,19,136
FL-605,947,758,947,124.90%,440,507,138,579,368,440,329,440,133.70%,0,44,54,257,183,507,507,429,507,118.20%,84,322,185,284,284,284,284,100.00%,71,7,17,267
FL-606,304,244,204,83.60%,224,80,48,102,202,224,184,166,90.20%,0,101,32,69,155,80,80,60,38,63.30%,16,33,47,38,38,38,19,50.00%,9,2,4,34
GA-500,"4,806","4,708","4,026",85.50%,"1,928","2,878",398,"1,543","3,263","1,928","1,830","1,659",90.70%,752,70,100,381,"1,547","2,878","2,878","2,878","2,367",82.20%,298,"1,162","1,716","1,086","1,086","1,086",760,70.00%,66,74,276,810
GA-501,"2,316","1,682","1,509",89.70%,"1,184","1,132",439,"1,289","1,027","1,184",645,559,86.70%,40,173,192,619,565,"1,132","1,132","1,037",950,91.60%,247,670,462,"1,226","1,226","1,097",790,72.00%,303,249,604,622
GA-503,201,185,150,81.10%,107,94,27,93,108,107,91,72,79.10%,10,0,10,31,76,94,94,94,78,83.00%,17,62,32,61,61,61,55,90.20%,0,5,15,46
GA-504,443,427,285,66.70%,237,206,66,177,266,237,221,148,67.00%,0,17,15,60,177,206,206,206,137,66.50%,51,117,89,23,23,23,8,34.80%,2,2,7,16
GA-505,283,240,81,33.80%,221,62,21,82,201,221,178,39,21.90%,0,0,21,82,139,62,62,62,42,67.70%,0,0,62,121,121,121,121,100.00%,19,3,9,112
GA-506,471,317,345,108.80%,139,332,78,327,144,139,107,77,72.00%,48,23,22,95,44,332,332,210,268,127.60%,56,232,100,68,68,68,68,100.00%,39,12,25,43
