,"Total Beds (ES,TH,SH)",,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,Transitional Housing (TH),,,,,,,,,Safe Haven (SH),,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,
State,"Total Year-Round Beds (ES,TH,SH)","Total Non-DV Year-Round Beds (ES,TH,SH)","Total HMIS Year-Round Beds (ES,TH,SH)","HMIS Participation Rate (ES,TH,SH)",Total Emergency Shelter (ES) Beds (excluding seasonal+overflow),Total Transitional Housing (TH) Beds,Total Safe Haven (SH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH,SH)","Total Beds for Households with only Children (ES,TH,SH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total ES Beds for Households with only Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total TH Beds for Households with only Children,Total SH Beds,Total Year-Round SH Beds,Total Non-DV Year-Round SH Beds,Total HMIS Year-Round SH Beds,SH HMIS Participation Rate,Total SH Beds for Households without Children,Total SH Beds for Households with only Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children,Total PSH Beds for Households with only Children
TX,"22,880","18,118","12,547",69.30%,"13,200","9,529",151,"3,297","10,600","12,103",177,"13,200","10,205","6,853",67.20%,152,969,"1,704","5,221","7,868",111,"9,529","9,529","7,762","5,543",71.40%,"1,593","5,379","4,084",66,151,151,151,151,100.00%,151,0,"10,355","10,355","10,142","5,899",58.20%,"2,935","2,256","4,343","6,012",0
UT,"3,020","2,287","1,953",85.40%,"1,486","1,485",49,440,"1,437","1,548",35,"1,486","1,112",933,83.90%,399,56,163,531,922,33,"1,485","1,485","1,126",971,86.20%,277,906,577,2,49,49,49,49,100.00%,49,0,"1,758","1,758","1,736","1,535",88.40%,762,176,585,"1,173",0
VA,"7,514","6,257","4,694",75.00%,"4,022","3,436",56,"1,320","4,295","3,214",5,"4,022","3,127","2,058",65.80%,"1,092",392,644,"1,944","2,074",4,"3,436","3,436","3,074","2,580",83.90%,676,"2,351","1,084",1,56,56,56,56,100.00%,56,0,"2,902","2,902","2,880","1,915",66.50%,811,322,910,"1,987",5
VI,158,114,114,100.00%,99,59,0,34,61,97,0,99,75,75,100.00%,0,0,14,41,58,0,59,59,39,39,100.00%,20,20,39,0,0,0,0,0,0.00%,0,0,63,63,63,63,100.00%,14,9,34,29,0
VT,981,779,457,58.70%,566,409,6,186,499,474,8,566,444,243,54.70%,53,0,102,287,272,7,409,409,329,208,63.20%,84,212,196,1,6,6,6,6,100.00%,6,0,515,515,515,366,71.10%,154,50,139,376,0
WA,"16,966","15,168","12,429",81.90%,"6,464","10,447",55,"3,295","10,920","5,922",124,"6,464","5,603","4,323",77.20%,861,447,802,"2,907","3,479",78,"10,447","10,447","9,510","8,051",84.70%,"2,493","8,013","2,388",46,55,55,55,55,100.00%,55,0,"8,413","8,413","8,413","6,422",76.30%,"2,751",759,"2,202","6,211",0
WI,"6,384","5,069","4,569",90.10%,"3,306","3,014",64,"1,211","3,701","2,618",65,"3,306","2,439","2,139",87.70%,241,387,527,"1,713","1,544",49,"3,014","3,014","2,566","2,366",92.20%,684,"1,988","1,010",16,64,64,64,64,100.00%,64,0,"2,474","2,474","2,465","2,106",85.40%,232,237,773,"1,701",0
WV,"1,874","1,573","1,083",68.80%,"1,189",672,13,229,695,"1,163",16,"1,189","1,005",680,67.70%,32,54,112,341,848,0,672,672,555,390,70.30%,117,354,302,16,13,13,13,13,100.00%,13,0,"1,002","1,002","1,002",788,78.60%,329,95,268,734,0
WY,817,573,442,77.10%,538,279,0,124,392,425,0,538,323,255,78.90%,0,57,73,251,287,0,279,279,250,187,74.80%,51,141,138,0,0,0,0,0,0.00%,0,0,230,230,230,98,42.60%,66,32,104,126,0
Total,"428,527","374,842","299,126",,"229,206","197,192","2,129","68,983","221,212","203,973","3,342","229,206","194,433","154,678",,"19,708","28,098","34,031","111,351","115,643","2,212","197,192","197,192","178,322","142,390",,"34,952","109,861","86,201","1,130","2,129","2,129","2,087","2,058",,"2,129",0,"274,786","274,786","272,173","198,516",,"74,693","38,832","108,416","166,262",108
